file,ECAPA_cos,DNSMOS_p808,DNSMOS_sig,DNSMOS_bak,DNSMOS_ovr
F003_R1_E2_M2_AU.wav,0.5367935299873352,3.4349926710128784,3.408770254987522,4.134923941337053,3.175010719003969
F003_R1_E2_M2_AV.wav,0.5981117486953735,3.474924405415853,3.5965965557603563,4.193208065659866,3.3676448041142506
F003_R1_E2_M2_AW.wav,0.5028485059738159,4.077540057046073,3.502193228364966,4.085774442441534,3.2158732783700503
F003_R1_E2_M2_AX.wav,0.4608984589576721,3.6147735118865967,3.5039893388070658,4.103737246898289,3.24846484958523
F003_R1_E2_M2_AY.wav,0.5122586488723755,3.4586551189422607,3.5195497711560986,4.172785810783522,3.2774682815126948
F003_R1_E2_M2_AZ.wav,0.585125744342804,3.254652500152588,3.550847524426992,4.0847504172190545,3.279947388043995
F003_R1_E2_M2_BA.wav,0.4327082335948944,3.327094009944371,3.203063388045897,4.041542761401266,2.901113875548507
F003_R1_E2_M2_BB.wav,0.38735848665237427,3.481520414352417,3.0700525682632276,3.8968988482151987,2.743295175213078
F003_R1_E2_M2_BC.wav,0.5665475130081177,3.1297597885131836,3.4974442184228485,4.104423764293707,3.20416665425304
F003_R1_E2_M2_BD.wav,0.5579158067703247,3.6853801012039185,3.4671159080610754,4.120268229182141,3.1877064763486587
F003_R1_E2_M2_BE.wav,0.6025563478469849,3.497450113296509,3.458813012003148,4.17221227309575,3.2259420946759696
F003_R1_E2_M2_BF.wav,0.5836292505264282,3.627063751220703,3.568580217080916,4.170069773207928,3.3255539979736612
F003_R1_E2_M2_BG.wav,0.4857969582080841,3.837072491645813,3.1973987712085865,3.9843101502132083,2.9194102379184903
F003_R1_E2_M2_BH.wav,0.4460527002811432,3.1498232228415355,3.249813519411415,4.107422860291805,2.99593811605465
F003_R1_E2_M2_BI.wav,0.4173615574836731,3.6895203590393066,3.5114338663628835,4.165175004433903,3.2640425812119362
F003_R1_E2_M2_BJ.wav,0.497818261384964,3.28995943069458,3.1060066721683235,3.9804850119716493,2.817288135754979
F003_R1_E2_M2_BK.wav,0.5225058197975159,3.7628438472747803,3.623888706215804,4.166020397862287,3.387198861011324
F003_R1_E2_M2_BL.wav,0.5537943840026855,3.915050983428955,3.42681386989718,4.126977674942557,3.1683797546564985
F003_R1_E2_M2_BM.wav,0.5653616189956665,3.533015012741089,3.656639820807459,4.17269014459912,3.4252240330255104
F003_R1_E2_M2_BN.wav,0.40534326434135437,3.348167085647583,3.251813611107488,4.090096675733325,3.0081206936789453
F003_R1_E2_M2_BO.wav,0.5151392817497253,4.032142639160156,3.5475883691789996,4.17446679519419,3.3201318526795465
F003_R1_E2_M2_BP.wav,0.6329081058502197,3.6344239711761475,3.3868262994267617,4.0780621634303476,3.128238171957493
F003_R1_E2_M2_BQ.wav,0.5093170404434204,4.022804260253906,3.3175087505726553,3.885736789144958,2.9708544508015726
F003_R1_E2_M2_BR.wav,0.6155955791473389,3.2291624205453053,3.218295265710644,3.981854454472182,2.9249755869921485
F003_R1_E2_M2_BS.wav,0.5903261303901672,3.8201653957366943,3.203621138831428,4.03224298964107,2.9382555263185894
F003_R1_E2_M2_BT.wav,0.6637848019599915,3.159621545246669,3.537416322393858,4.207675481945442,3.3481139254434007
F003_R1_E2_M2_BU.wav,0.6258504986763,3.887545245034354,3.4986906571217986,4.161155793313512,3.2574903169743443
F003_R1_E2_M2_BV.wav,0.49424847960472107,3.9905776977539062,3.4506138744034436,3.8151971974551575,3.0935784145036336
F003_R1_E2_M2_BW.wav,0.6204074621200562,3.2843003273010254,3.4820490301542955,4.123035954394744,3.2242915713017117
F003_R1_E2_M2_BX.wav,0.5905314683914185,3.4614951610565186,3.6599151426675918,4.2163920772863674,3.4385340881715947
M001_R1_E2_M2_AA.wav,0.6846816539764404,3.7203030586242676,3.5069972527507125,4.14196914642431,3.2725393401598417
M001_R1_E2_M2_AB.wav,0.641656756401062,3.618990421295166,3.1565566512240206,4.14328958103009,2.956997039497438
M001_R1_E2_M2_AC.wav,0.5404794216156006,3.765188217163086,3.368766552879947,4.17704192590588,3.155978923749007
M001_R1_E2_M2_AD.wav,0.607839047908783,3.1638152599334717,2.9729695657027997,4.108964929049303,2.76187805931111
M001_R1_E2_M2_AE.wav,0.6121357083320618,3.31087783404759,3.261632997515455,3.974137652614598,2.973073335878517
M001_R1_E2_M2_AF.wav,0.5647350549697876,3.7680583000183105,3.1443950754396868,4.1279177849908,2.9357692876759076
M001_R1_E2_M2_AG.wav,0.5585641860961914,2.9930555479867116,3.308442866852328,4.050152569760455,3.0389029546751867
M001_R1_E2_M2_AH.wav,0.473707377910614,3.3129773139953613,3.1842095417074705,4.1064127277504285,2.935670255037704
M001_R1_E2_M2_AI.wav,0.55423504114151,3.9952558279037476,3.6101354038569577,4.223914713997249,3.4174830291893885
M001_R1_E2_M2_AJ.wav,0.5364370942115784,3.3733134269714355,3.356969425119763,4.181355826251136,3.1541522471495633
M001_R1_E2_M2_AK.wav,0.45721152424812317,3.371925558362688,3.404854384652919,4.176357221913713,3.186327974315503
M001_R1_E2_M2_AL.wav,0.6576284170150757,3.6136711835861206,2.9226942603078885,3.9735112808751945,2.662325532573691
M001_R1_E2_M2_AM.wav,0.6364506483078003,3.3611462116241455,3.5657041801367138,4.201302298161286,3.3319079192302588
M001_R1_E2_M2_AN.wav,0.6251969337463379,3.48652184009552,3.416034041541324,4.104818440741197,3.142744421510013
M001_R1_E2_M2_AO.wav,0.47422513365745544,2.77733199937003,2.5747720109214343,4.023222597493077,2.386756492725933
M001_R1_E2_M2_AP.wav,0.589433491230011,3.4238882064819336,3.2826875413236833,4.155814953472567,3.0720202145075874
M001_R1_E2_M2_AQ.wav,0.5979117155075073,3.2190003395080566,2.9275209756333602,4.121868433011374,2.7416091207086715
M001_R1_E2_M2_AR.wav,0.6157644391059875,3.2377915382385254,3.1048466655584814,4.09647004476181,2.8940185390885738
M001_R1_E2_M2_AS.wav,0.38869115710258484,3.6832261085510254,3.0418095712601274,4.114464467422008,2.8269711315688886
M001_R1_E2_M2_AT.wav,0.6046785116195679,2.990330559866769,2.892416775793276,4.154207497700819,2.7123806638202588
M001_R1_E2_M2_AU.wav,0.45259174704551697,3.2446069717407227,2.961093658233304,4.100226536733802,2.772311446000982
