file,ECAPA_cos,DNSMOS_p808,DNSMOS_sig,DNSMOS_bak,DNSMOS_ovr
F001_R1_E2_M2_AA.wav,0.7003507614135742,3.6291188398996987,3.246787990872871,4.052846874440943,2.9923494411537424
F001_R1_E2_M2_AB.wav,0.777823805809021,3.2672078609466553,3.4515744199661356,4.044828226130436,3.193509740718027
F001_R1_E2_M2_AC.wav,0.652900218963623,3.4487252235412598,3.2747389573484527,4.088810521377,3.0290796146623378
F001_R1_E2_M2_AD.wav,0.7998306155204773,3.140897353490194,3.1267684434631637,3.897106120825556,2.786322293602852
F001_R1_E2_M2_AE.wav,0.6596285700798035,2.945129871368408,3.25114062074924,4.072944373092649,2.987016934746963
F001_R1_E2_M2_AF.wav,0.7227940559387207,3.269836187362671,3.042138291207789,3.99618995081295,2.7316462212232198
F001_R1_E2_M2_AG.wav,0.7549238204956055,3.472531318664551,3.5282897126839567,4.063607796250522,3.2387274720730583
F001_R1_E2_M2_AH.wav,0.6539802551269531,3.1509260336558023,3.3546207775198327,4.157175598822331,3.129629256976322
F001_R1_E2_M2_AI.wav,0.6773396134376526,3.5143996715545653,3.3817971625385703,4.003263493285852,3.0662387574085317
F001_R1_E2_M2_AJ.wav,0.6918750405311584,3.5438196659088135,3.3585135186225004,4.163875445427598,3.1180129624621635
F001_R1_E2_M2_AK.wav,0.5301017761230469,3.1942296028137207,3.316712336997618,4.134533960257739,3.084374654752172
F001_R1_E2_M2_AL.wav,0.7190643548965454,3.050248463948568,2.831905979705363,3.9129412843548024,2.5161143364126306
F001_R1_E2_M2_AM.wav,0.6907007694244385,3.5915467739105225,3.467076014120391,4.084262468716291,3.1898774660066422
F001_R1_E2_M2_AN.wav,0.7015975713729858,3.550402800242106,3.4359536942034983,4.104613537986371,3.176499987604186
F001_R1_E2_M2_AO.wav,0.6979316473007202,3.2396907806396484,2.928761166425507,3.896897618572794,2.614594284443847
F001_R1_E2_M2_AP.wav,0.7502691149711609,3.63754141330719,3.6587808423869417,4.216308107894535,3.4337720686254585
F001_R1_E2_M2_AQ.wav,0.7594537734985352,3.285025494439261,3.0514413999933416,4.089694327352103,2.8357165670151274
F001_R1_E2_M2_AR.wav,0.7411072254180908,3.410265564918518,3.469950600333248,4.122238558549753,3.233793894749009
F001_R1_E2_M2_AS.wav,0.7768012881278992,3.4689930280049643,3.1801168204820507,3.946271021749792,2.8611677986497814
F001_R1_E2_M2_AT.wav,0.750930905342102,3.182595729827881,2.974520947870983,4.039443530057562,2.6842489202182476
F001_R1_E2_M2_AU.wav,0.7023628950119019,3.4095213413238525,3.3613838817162778,4.154902696920061,3.1380218730655436
F001_R1_E2_M2_AV.wav,0.7549335956573486,3.5923050244649253,3.4847328116070653,4.181984091869394,3.259250404153565
F001_R1_E2_M2_AW.wav,0.7327855229377747,4.055687699999128,3.5049493477356344,4.00155399539023,3.181816310087203
F001_R1_E2_M2_AX.wav,0.7240952849388123,3.8221918741861978,3.4086081490986175,4.0076444638077815,3.0982607220594574
F001_R1_E2_M2_AY.wav,0.8121791481971741,2.871652603149414,3.2904310103192573,4.06228794681069,2.992186973860738
F001_R1_E2_M2_AZ.wav,0.6940587759017944,3.277249813079834,3.6221421583746407,4.183134633267953,3.390410599578637
F001_R1_E2_M2_BA.wav,0.7127633690834045,3.333742448261806,3.1936546570843283,4.001402908803152,2.8966154692967385
F001_R1_E2_M2_BB.wav,0.6717166900634766,3.409970453807286,3.3927429105946296,4.023701442479505,3.0752657821125253
F001_R1_E2_M2_BC.wav,0.6467795372009277,3.162497350147792,3.5670663652244334,4.211201673450659,3.339805083656134
F001_R1_E2_M2_BD.wav,0.7291204929351807,3.406925837198893,3.4274469718954044,4.131236289901361,3.1773093282347253
F001_R1_E2_M2_BE.wav,0.7288199663162231,3.4533615793500627,3.2488506067283347,4.122677156210657,3.002006550117577
