file,ECAPA_cos,DNSMOS_p808,DNSMOS_sig,DNSMOS_bak,DNSMOS_ovr
F003_R1_E2_M2_BS.wav,0.9933827519416809,3.0573233366012573,3.2484627537089086,2.34335973156933,2.2364600698283272
F003_R1_E2_M2_BT.wav,0.9567834138870239,2.6961210455213274,3.08557748216981,1.9045126692310688,1.8952932495522294
F003_R1_E2_M2_BU.wav,0.9910221695899963,2.984121118273054,3.3603980709605534,2.3546792526730997,2.282012158556521
F003_R1_E2_M2_BV.wav,0.9619820713996887,2.948058843612671,3.039074710509887,2.3973603709958216,2.1759366153486064
F003_R1_E2_M2_BW.wav,0.9309942126274109,2.746465563774109,1.332031819610655,1.2148306607625297,1.1429462759603677
F003_R1_E2_M2_BX.wav,0.9881702661514282,2.8514962196350098,3.252180923594258,2.2547991486947327,2.1746269684564576
M001_R1_E2_M2_AA.wav,0.9663071632385254,2.8838075399398804,2.482980740461338,2.1247432359606346,1.7832422153899496
M001_R1_E2_M2_AB.wav,0.9592536091804504,2.524984121322632,3.0849563501108834,2.5479618926610614,2.1420757541629234
M001_R1_E2_M2_AC.wav,0.9570007920265198,2.950168013572693,2.2457285405129808,1.8779779610694063,1.655071778626805
M001_R1_E2_M2_AD.wav,0.985964834690094,3.0413477420806885,2.5842100358925784,2.438595705807644,1.9422447648468075
M001_R1_E2_M2_AE.wav,0.9851392507553101,2.9643361568450928,3.416846844357944,3.21283520485278,2.7117954865022798
M001_R1_E2_M2_AF.wav,0.9470347166061401,2.4862594604492188,1.259939610419101,1.143658921629807,1.1290919739737881
M001_R1_E2_M2_AG.wav,0.9799641370773315,2.7817492485046387,3.4008921917161246,2.8023156147985424,2.489227221879587
M001_R1_E2_M2_AH.wav,0.9897949695587158,2.9927783012390137,3.334085711546499,2.667909315550976,2.387183373445873
M001_R1_E2_M2_AI.wav,0.9401627779006958,2.719532787799835,2.3788961529360684,1.9890407183668168,1.7165577607223401
M001_R1_E2_M2_AJ.wav,0.8778042793273926,2.430531144142151,1.3699408724838658,1.2029731977374563,1.1503470966211338
M001_R1_E2_M2_AK.wav,0.8638718128204346,2.4519030026027133,1.518033506286181,1.2539797424801744,1.1961271153659685
M001_R1_E2_M2_AL.wav,0.9907041788101196,3.059082508087158,3.3270360716957588,2.899984544541605,2.4835067317654973
M001_R1_E2_M2_AM.wav,0.9851016998291016,3.0835862159729004,3.514689155249869,2.9440913646056184,2.6687030443387303
M001_R1_E2_M2_AN.wav,0.9882848262786865,2.9607439041137695,3.3247084308499844,3.142796790593345,2.6070348823000766
M001_R1_E2_M2_AO.wav,0.9363563060760498,2.491511821746826,1.6999968173018043,1.46422981704398,1.3044580917922275
M001_R1_E2_M2_AP.wav,0.9838907122612,3.1171910762786865,3.435915749490844,2.803404291451994,2.5640401183751025
M001_R1_E2_M2_AQ.wav,0.9785256385803223,2.8027397791544595,3.3602999499549213,2.845986380406371,2.463395364862038
M001_R1_E2_M2_AR.wav,0.9878641963005066,2.965707540512085,3.519919393263651,3.136811887877969,2.7689963298479996
M001_R1_E2_M2_AS.wav,0.913413405418396,2.491262197494507,1.3593004473491264,1.1778083998328306,1.1613438127214128
M001_R1_E2_M2_AT.wav,0.966031551361084,2.6623363494873047,3.382697745264685,2.6806650619821912,2.456696383957688
M001_R1_E2_M2_AU.wav,0.9833647012710571,3.117281198501587,3.4466646795481615,2.7096473592772474,2.4815647395369536
M001_R1_E2_M2_AV.wav,0.9675768613815308,2.853251188993454,1.4937704276311616,1.2593154054072548,1.204131909060993
M001_R1_E2_M2_AW.wav,0.9668826460838318,3.0230562686920166,3.408149505716322,2.3727591430105677,2.3097234989794293
M001_R1_E2_M2_AX.wav,0.9776496887207031,3.1461872458457947,3.1843419990093764,2.6791458925244163,2.347431972236203
M001_R1_E2_M2_AY.wav,0.9689249396324158,2.952049732208252,3.0353764916226984,2.379844249048877,2.2126074014773605
M001_R1_E2_M2_AZ.wav,0.9674170017242432,2.3395609855651855,1.4646029761134751,1.3407578797412958,1.1725380347326508
M001_R1_E2_M2_BA.wav,0.9773941040039062,2.554462194442749,3.4038801547645514,3.176815811592383,2.6603848836078257
M001_R1_E2_M2_BB.wav,0.9124898910522461,2.8134518563747406,1.4224040081578744,1.2495402031567364,1.1818370661203557
M001_R1_E2_M2_BC.wav,0.9328919649124146,2.3307448387145997,2.237307272976185,1.612431251519101,1.4899426449775337
M001_R1_E2_M2_BD.wav,0.9706358909606934,2.916079044342041,2.0718397097792622,1.3957887357627767,1.4094704800603957
M001_R1_E2_M2_BE.wav,0.9199260473251343,2.686849852403005,1.3301758585083463,1.2393827424047823,1.1259781723788893
M001_R1_E2_M2_BF.wav,0.8829503059387207,2.5627935886383058,3.348804252302674,2.0344428444246585,2.0866471815570415
M001_R1_E2_M2_BG.wav,0.9845052361488342,2.9443208490099226,2.526222748635474,2.0452782521455557,1.7799135339223575
M001_R1_E2_M2_BH.wav,0.9693775773048401,2.7955756902694704,1.7557392387680781,1.4039581537317587,1.2959982473625056
M001_R1_E2_M2_BI.wav,0.9832012057304382,2.774924898147583,3.253719607617706,2.982153279102134,2.485446170777524
M001_R1_E2_M2_BJ.wav,0.9792379140853882,2.961149215698242,2.9140879112504408,2.2218754805304757,2.021788738412409
M001_R1_E2_M2_BK.wav,0.9525899887084961,2.891924023628235,2.153400159941734,1.5552358083426912,1.4474925910141878
M001_R1_E2_M2_BL.wav,0.9889959692955017,2.882530689239502,3.1467928495331376,2.3915609864006955,2.1488913137565504
M001_R1_E2_M2_BM.wav,0.9513615965843201,2.7608710697719028,2.024060170191241,1.490200106371221,1.4325201805534964
M001_R1_E2_M2_BN.wav,0.9350762367248535,2.4975386261940002,1.5835611319480338,1.3585514767903235,1.2234943582630422
M001_R1_E2_M2_BO.wav,0.9689240455627441,2.9514055252075195,3.2755891921704876,2.498187632059476,2.3373285781805953
M001_R1_E2_M2_BP.wav,0.9305870532989502,2.4679057598114014,2.4381416747827416,2.0595399208036804,1.7418567980244695
M001_R1_E2_M2_BQ.wav,0.9451817274093628,2.6923297166824343,1.4652989082527914,1.3586146931732315,1.1955216081049338
M001_R1_E2_M2_BR.wav,0.9851189851760864,2.6570338010787964,3.161907909067539,3.0611754652232106,2.4252092584829072
M001_R1_E2_M2_BS.wav,0.9581436514854431,2.8146181106567383,3.167729604032448,1.9573257326932778,1.942862703732441
