file,MCD,XvecCos,ECAPACos,WER,logF0_RMSE,Deg_MCD,Deg_XvecCos,Deg_ECAPACos,Deg_WER,Deg_logF0_RMSE
F001_R1_E2_M2_AA.wav,15.341580211605157,0.9010475277900696,0.3503279387950897,3.0,0.22330434003379548,0.06407774159387672,0.9372234344482422,0.5250869393348694,3.0,0.00041150595171502346
F001_R1_E2_M2_AB.wav,16.709504576610236,0.900324821472168,0.41869425773620605,3.0,0.12386300765695082,0.1841595055169892,0.9291378259658813,0.6055506467819214,0.0,0.20923942169808013
F001_R1_E2_M2_AC.wav,18.739421153736775,0.9243533611297607,0.39111393690109253,1.0,0.21887309641964361,0.6054676283205774,0.9434704780578613,0.5462149381637573,2.0,0.11105423791558698
F001_R1_E2_M2_AD.wav,17.98738754585891,0.8999111652374268,0.4440203309059143,3.0,0.2410971263875828,0.04013833076976979,0.927994430065155,0.63531893491745,0.0,0.00014971432184101481
F001_R1_E2_M2_AE.wav,19.94247854743228,0.9236421585083008,0.37933069467544556,2.0,0.15717792353760304,0.015119181654727594,0.9446990489959717,0.5652074217796326,2.0,0.0014218066138768364
F001_R1_E2_M2_AF.wav,18.275138644378362,0.9165098667144775,0.333732008934021,0.0,0.2504814452623865,0.04357081777263743,0.9500476121902466,0.5280434489250183,0.6666666666666666,0.005631387219600131
F001_R1_E2_M2_AG.wav,19.849898091948976,0.8929211497306824,0.37033557891845703,1.0,0.15119259237926047,0.35334055825342997,0.9141167402267456,0.5455663800239563,1.0,0.05392931068058999
F001_R1_E2_M2_AH.wav,20.775253763516115,0.9350192546844482,0.4343777298927307,0.0,0.09751482947314244,0.14202549008686416,0.9469132423400879,0.5907958149909973,0.0,0.003861054225436619
F001_R1_E2_M2_AI.wav,17.830803628260423,0.910118043422699,0.2893800437450409,3.0,0.07854921150213262,0.13418971087850118,0.9302018880844116,0.6278588771820068,0.0,8.47476546550621e-05
F001_R1_E2_M2_AJ.wav,22.10819703695581,0.9222182035446167,0.43499428033828735,2.0,0.2867869057876678,0.012068469835395713,0.9417685866355896,0.6326920986175537,0.0,0.08651481024971595
F001_R1_E2_M2_AK.wav,16.624359282650126,0.9218223094940186,0.36946427822113037,2.0,0.11361078077039413,0.062164844827430496,0.9408208131790161,0.5525267124176025,0.0,8.001125529261867e-05
F001_R1_E2_M2_AL.wav,17.895374016288226,0.9160380363464355,0.3279212415218353,0.0,0.1760694508235543,0.04877697321399112,0.9341663122177124,0.500501811504364,0.0,0.0009169755224662785
F001_R1_E2_M2_AM.wav,17.53554413426934,0.9205553531646729,0.4278782606124878,1.0,0.1783933801085642,0.4702979383600775,0.9403073787689209,0.6024712920188904,1.0,0.008774923929097879
F001_R1_E2_M2_AN.wav,19.642082631425296,0.9081956744194031,0.4258345663547516,1.0,0.18147361240049686,0.08920913050080663,0.9283015727996826,0.5803536176681519,0.0,0.00016970115530650834
F001_R1_E2_M2_AO.wav,19.018366757602433,0.8985540866851807,0.3578197658061981,0.5,0.18823143784138813,0.02296822666745709,0.9326193332672119,0.6374344825744629,0.5,0.0015105637404003256
F001_R1_E2_M2_AP.wav,20.661715295885127,0.903840959072113,0.44494640827178955,1.0,0.23121259953171125,0.0509023709985451,0.9399305582046509,0.652511477470398,0.0,0.03220034075225953
F001_R1_E2_M2_AQ.wav,19.018897960027797,0.9198788404464722,0.4485817551612854,1.0,0.10294764256141085,0.17609347644596088,0.9346538186073303,0.5597701668739319,1.0,0.0016885401031953222
F001_R1_E2_M2_AR.wav,16.866183115396698,0.9076118469238281,0.474908709526062,0.0,0.4239110086302648,0.3859059335904499,0.932042121887207,0.555532693862915,0.0,0.15448068613784902
F001_R1_E2_M2_AS.wav,15.929498456972285,0.8978790044784546,0.34785279631614685,3.0,0.23822955024389955,0.09705020307047377,0.9308688640594482,0.5418341159820557,1.0,0.05871066718706014
F001_R1_E2_M2_AT.wav,18.763865649677996,0.9076366424560547,0.3228318989276886,1.0,0.28537013872193784,0.12711500380800936,0.9309749007225037,0.5824089646339417,1.0,0.01572516619259127
F001_R1_E2_M2_AU.wav,19.427102086869635,0.9276854991912842,0.30640867352485657,2.0,0.25603383010096264,0.09379279211385044,0.9419956207275391,0.5024763345718384,1.0,0.0011507003295223271
F001_R1_E2_M2_AV.wav,18.2983534779941,0.9107986688613892,0.39454543590545654,2.0,0.2049959314603936,0.21563023942070086,0.933444619178772,0.5565508008003235,1.0,0.002896346135690746
F001_R1_E2_M2_AW.wav,15.519312924276303,0.9236255884170532,0.44400379061698914,3.0,0.13953326417991657,0.12785727889673426,0.9455621242523193,0.5495546460151672,1.0,0.007242591647461166
F001_R1_E2_M2_AX.wav,16.18292127447375,0.9155431985855103,0.4172307252883911,1.0,0.1085658175085357,0.17188958674872232,0.9290605783462524,0.5738518834114075,0.0,0.000438798251410594
F001_R1_E2_M2_AY.wav,16.990079062007265,0.8913365602493286,0.4315744638442993,1.0,0.12724128120582404,0.4169547097523632,0.9182666540145874,0.5942081212997437,1.0,0.001382493847121485
F001_R1_E2_M2_AZ.wav,18.43262083791363,0.9169083833694458,0.4129629135131836,1.0,0.20379365138578182,0.28558599370395427,0.947494626045227,0.6989779472351074,0.0,0.0023316955422017496
F001_R1_E2_M2_BA.wav,21.310774444638955,0.9068107604980469,0.3959302306175232,1.0,0.10109620294779073,0.06588221227457385,0.9280551671981812,0.5959506034851074,0.0,0.00020760446048784766
F001_R1_E2_M2_BB.wav,19.189299716349566,0.9094883799552917,0.4434709846973419,1.0,0.1485015812536996,0.15929911882426026,0.944250226020813,0.6434693336486816,1.0,9.855318522676608e-05
F001_R1_E2_M2_BC.wav,20.404903611954037,0.9061495661735535,0.4842641353607178,1.0,0.0820797037906923,0.03259165999580576,0.9463976621627808,0.6784910559654236,1.0,0.09152392269545084
F001_R1_E2_M2_BD.wav,19.580475615290577,0.93262779712677,0.5640953183174133,1.0,0.17821813788880175,0.24626422968419867,0.9515441656112671,0.6953692436218262,1.0,0.00040219553365142816
F001_R1_E2_M2_BE.wav,19.308990495495266,0.9059430360794067,0.41321027278900146,1.0,0.13890126852722753,0.08803628822425837,0.9353471994400024,0.6347834467887878,1.0,0.03460396637275834
F001_R1_E2_M2_BF.wav,21.14551497608342,0.9091692566871643,0.29907190799713135,0.0,0.2531702878167026,0.02142757163182579,0.9327906370162964,0.6566891670227051,0.0,5.181363354508217e-05
F001_R1_E2_M2_BG.wav,17.92827104195961,0.9165207147598267,0.43190789222717285,1.0,0.06391035257571943,0.04043181603920456,0.9415894746780396,0.5335734486579895,0.0,2.3260667506615883e-05
F001_R1_E2_M2_BH.wav,26.26763378310904,0.9235540628433228,0.4892061948776245,0.0,0.17828261370036816,0.08298435038455075,0.9590379595756531,0.6097524762153625,1.0,0.00036733948785369744
