file,MCD,XvecCos,ECAPACos,WER,logF0_RMSE,Deg_MCD,Deg_XvecCos,Deg_ECAPACos,Deg_WER,Deg_logF0_RMSE
F001_R1_E3_M3_s2_r1_e3_m1_AA.wav,13.722939563799022,0.928041934967041,0.339235782623291,1.0,0.5216705453844871,0.0,1.0,1.0000001192092896,0.0,0.0
F001_R1_E3_M3_s2_r1_e3_m1_AB.wav,12.782467659209319,0.9166570901870728,0.25742965936660767,8.0,0.5530187694877229,0.0,1.0,1.0000001192092896,0.0,0.0
F001_R1_E3_M3_s2_r1_e3_m1_AC.wav,17.341444986029504,0.9203124046325684,0.2938914895057678,1.0,0.5340750561914719,0.0,1.0,1.0,0.0,0.0
F001_R1_E3_M3_s2_r1_e3_m1_AD.wav,18.885547428026698,0.9178852438926697,0.5122689008712769,6.0,0.6112340225045559,0.0,1.0,1.0000001192092896,0.0,0.0
F001_R1_E3_M3_s2_r1_e3_m1_AE.wav,8.699156277079451,0.9114500284194946,0.3667219877243042,4.0,0.29328285006753163,0.0,1.0,1.0,0.0,0.0
F001_R1_E3_M3_s2_r1_e3_m1_AF.wav,17.485563285165068,0.9231044054031372,0.3769579827785492,3.0,0.6061516456500265,0.0,1.0,1.0,0.0,0.0
F001_R1_E3_M3_s2_r1_e3_m1_AG.wav,28.557384161962727,0.9200170040130615,0.17142662405967712,2.5,0.18748141096267693,0.0,1.0,0.9999999403953552,0.0,0.0
F001_R1_E3_M3_s2_r1_e3_m1_AH.wav,14.63410642259101,0.9269469380378723,0.4285545349121094,1.0,0.5322443264910148,0.0,1.0000001192092896,1.0,0.0,0.0
F001_R1_E3_M3_s2_r1_e3_m1_AI.wav,18.591938468722965,0.9273866415023804,0.28547507524490356,4.5,0.3892327730773877,0.0,0.9999999403953552,1.0000001192092896,0.0,0.0
F001_R1_E3_M3_s2_r1_e3_m1_AJ.wav,23.442045295385945,0.9368492960929871,0.39515283703804016,1.0,0.5313758858963471,0.0,1.0,1.0,0.0,0.0
F001_R1_E3_M3_s2_r1_e3_m1_AK.wav,22.146666080710666,0.905748188495636,0.3709290623664856,4.0,0.4015355845575436,0.0,1.0,0.9999998807907104,0.0,0.0
