name,ecapa_cos_mean,ecapa_cos_std,count,dnsmos_p808_mean,dnsmos_p808_std,dnsmos_sig_mean,dnsmos_sig_std,dnsmos_bak_mean,dnsmos_bak_std,dnsmos_ovr_mean,dnsmos_ovr_std
original,0.9999999868869781,7.436952758635848e-08,300,3.050243421100435,0.23513381104495876,3.2309267350593416,0.3713587652836165,3.2253586782567814,0.4590828290237858,2.596128871731708,0.37026601122320457
8kHz,0.6724535014231999,0.0718261567274772,300,2.754626879722353,0.2049280750870655,3.219452424930717,0.3530227745779163,3.2522993470039965,0.4412455671873667,2.5905195725725894,0.3621032747392043
8kHz miipher 1,0.4645548557738463,0.09016346312598403,300,3.4354899323062287,0.2720519377461226,3.2815594052001313,0.19911308807159914,4.044542159916082,0.10586306360835754,3.0086758017910626,0.210636941585021
8kHz miipher 2,0.44696021740635233,0.1056977778594165,300,3.23258496525931,0.272160366656048,3.3510793857805994,0.1867660521694777,4.1315936709325785,0.0716883439059166,3.1059446635956065,0.2010872147847533
