file,MCD,XvecCos,ECAPACos,WER,logF0_RMSE,Deg_MCD,Deg_XvecCos,Deg_ECAPACos,Deg_WER,Deg_logF0_RMSE
F001_R1_E2_M2_AA.wav,17.437063788566427,0.9583982229232788,0.7087639570236206,3.0,0.23757393944699812,23.35943310197452,0.9950553774833679,0.9633058309555054,0.0,0.22058100137589864
F001_R1_E2_M2_AB.wav,15.638218374590982,0.9619261026382446,0.7830870151519775,3.0,0.10845587027975973,26.135605339998126,0.9965746998786926,0.9447028636932373,0.0,0.16949894314890387
F001_R1_E2_M2_AC.wav,20.326956819950276,0.964773416519165,0.6766419410705566,2.0,0.2566660059837593,22.37138779890087,0.9939092993736267,0.9496942162513733,0.0,0.06560299522240878
F001_R1_E2_M2_AD.wav,18.35436349482818,0.9615327715873718,0.817785382270813,3.0,0.2226192350814359,23.096564360141045,0.9953499436378479,0.9633960127830505,0.0,0.2196226311847794
F001_R1_E2_M2_AE.wav,18.382324211067832,0.9628506302833557,0.6001505851745605,2.0,0.22275171709102198,21.151155197515266,0.9930349588394165,0.9385285973548889,1.0,0.06214924028644066
F001_R1_E2_M2_AF.wav,20.452295814744403,0.9594637155532837,0.7537325620651245,0.0,0.09876200423729536,27.626500943286473,0.9910907745361328,0.9363514184951782,1.0,0.13812909980260335
F001_R1_E2_M2_AG.wav,17.816135906779166,0.9579259157180786,0.725333571434021,1.0,0.2601161146762992,24.163273450057435,0.994046151638031,0.958135187625885,1.0,0.22772562265206503
F001_R1_E2_M2_AH.wav,19.065348554165748,0.9620749354362488,0.7190313935279846,1.0,0.2339222205170159,24.954321836850298,0.9901512861251831,0.9492669701576233,0.0,0.23199400370344958
F001_R1_E2_M2_AI.wav,15.745086297310987,0.9563466310501099,0.640072226524353,3.0,0.12067081020980319,23.62912751773503,0.9784073829650879,0.9013456106185913,1.0,0.09471758557786147
F001_R1_E2_M2_AJ.wav,22.535101056340267,0.9603757858276367,0.6935427188873291,0.0,0.13609006682703495,21.32880791932487,0.9960556030273438,0.9551827311515808,0.0,0.2134458466800365
F001_R1_E2_M2_AK.wav,20.64228658502789,0.9579750299453735,0.7174019813537598,0.0,0.1292767520393432,21.83667051299665,0.9957637786865234,0.9234071969985962,1.0,0.09607683653290786
F001_R1_E2_M2_AL.wav,18.299720980937746,0.9578044414520264,0.744836688041687,0.0,0.1796680858430792,16.812254590142956,0.9944175481796265,0.9485712647438049,0.0,0.11725105377960966
F001_R1_E2_M2_AM.wav,16.674674569070444,0.959925651550293,0.7716781497001648,3.0,0.1608825819774612,24.908331959050752,0.9926756024360657,0.9323039650917053,1.0,0.46998989297261484
F001_R1_E2_M2_AN.wav,16.878187021139244,0.9603835344314575,0.7992022037506104,2.0,0.11561816665870622,27.357283981623098,0.9989718198776245,0.9926669597625732,1.0,0.173410462585297
F001_R1_E2_M2_AO.wav,15.99708801777354,0.9565054178237915,0.6499801874160767,0.5,0.1977277082792972,26.711844732748606,0.9896869659423828,0.9302129745483398,0.0,0.10962545727504631
F001_R1_E2_M2_AP.wav,19.765815198830524,0.9587230682373047,0.6820471882820129,1.0,0.16269577179721006,21.700931176530197,0.9891363382339478,0.9164471626281738,1.0,0.18915478575192812
F001_R1_E2_M2_AQ.wav,21.934112925882662,0.9540914297103882,0.728191614151001,1.0,0.23243902297347424,25.705897703200275,0.9849841594696045,0.8996707201004028,1.0,0.14144460749772844
F001_R1_E2_M2_AR.wav,16.423675753320516,0.9678415060043335,0.8352655172348022,3.0,0.2719094745754628,23.777035892895668,0.9972852468490601,0.9701285362243652,0.0,0.28348825616865847
